"Estacion","Fecha inicial","Fecha final","CO"
"SOGAMOSO-MOVIL KOICA","2020-08-30","","912.99833333"
"SOGAMOSO-MOVIL KOICA","2020-08-29","","871.51130435"
"SOGAMOSO-MOVIL KOICA","2020-08-28","","559.2975"
"SOGAMOSO-MOVIL KOICA","2020-08-27","","483.29333333"
"SOGAMOSO-MOVIL KOICA","2020-08-26","","459.40166667"
"SOGAMOSO-MOVIL KOICA","2020-08-25","","408.26590909"
"SOGAMOSO-MOVIL KOICA","2020-08-24","","565.18291667"
"SOGAMOSO-MOVIL KOICA","2020-08-23","","660.15416667"
"SOGAMOSO-MOVIL KOICA","2020-08-22","","641.79333333"
"SOGAMOSO-MOVIL KOICA","2020-08-21","","361.1473913"
"SOGAMOSO-MOVIL KOICA","2020-08-20","","363.32541667"
"SOGAMOSO-MOVIL KOICA","2020-08-19","","509.11958333"
"SOGAMOSO-MOVIL KOICA","2020-08-18","","584.42166667"
"SOGAMOSO-MOVIL KOICA","2020-08-17","","731.07375"
"SOGAMOSO-MOVIL KOICA","2020-08-16","","322.74416667"
"SOGAMOSO-MOVIL KOICA","2020-08-15","","412.2973913"
"SOGAMOSO-MOVIL KOICA","2020-08-14","","224.34583333"
"SOGAMOSO-MOVIL KOICA","2020-08-13","","352.655"
"SOGAMOSO-MOVIL KOICA","2020-08-12","","369.36583333"
"SOGAMOSO-MOVIL KOICA","2020-08-11","","283.24666667"
"SOGAMOSO-MOVIL KOICA","2020-08-10","","289.87958333"
"SOGAMOSO-MOVIL KOICA","2020-08-09","","306.41041667"
"SOGAMOSO-MOVIL KOICA","2020-08-08","","534.59916667"
"SOGAMOSO-MOVIL KOICA","2020-08-07","","531.69565217"
